fold,accuracy,f1_macro
1,0.8225108225108225,0.706357772029396
2,0.836940836940837,0.7258721689583171
3,0.8686868686868687,0.7669505216113276
4,0.823953823953824,0.720326544512556
5,0.8210678210678211,0.7108756073488386
